bin    Ex    Popul.    J= 0.0    J= 1.0    J= 2.0    J= 3.0    J= 4.0    J= 5.0    J= 6.0    J= 7.0    J= 8.0    J= 9.0

  49   3.184 4.188E-01 8.042E-03 5.083E-02 7.459E-02 5.665E-02 2.603E-02 1.119E-02 4.470E-04 1.070E-04 6.417E-07 1.478E-08 0 0 0 0 0 0 0 0 0 0 0 0 0
  50   3.302 5.064E-01 9.712E-03 6.142E-02 9.021E-02 6.867E-02 3.162E-02 1.369E-02 5.418E-04 1.319E-04 7.751E-07 1.822E-08 0 0 0 0 0 0 0 0 0 0 0 0 0
  51   3.426 6.161E-01 1.180E-02 7.469E-02 1.098E-01 8.375E-02 3.865E-02 1.685E-02 6.598E-04 1.637E-04 9.383E-07 2.253E-08 0 0 0 0 0 0 0 0 0 0 0 0 0
  52   3.553 7.541E-01 1.444E-02 9.141E-02 1.345E-01 1.028E-01 4.753E-02 2.088E-02 8.073E-04 2.045E-04 1.139E-06 2.795E-08 0 0 0 0 0 0 0 0 0 0 0 0 0
  53   3.686 9.288E-01 1.777E-02 1.126E-01 1.658E-01 1.270E-01 5.883E-02 2.606E-02 9.926E-04 2.572E-04 1.384E-06 3.475E-08 0 0 0 0 0 0 0 0 0 0 0 0 0
54 3.9500515 10.0 0.100772762091 0.296295088085 0.474343846702 0.625174724457 0.741627832628 0.81966496049 0.858513732068 0.860429707838 0.830143817311 0.774102251863 0.699623474476 0.614091798772 0.524283135466 0.435883165683 0.35321961904 0.279195899914 0.215388166645 0.162254419979 0.119401791503 0.0858646467964 0.0603579295986 0.0414839081994 0.0278833203958
55 4.0500515 10.0 0.0995837718315 0.292870851487 0.469091481743 0.618706321071 0.73467340164 0.812972977729 0.852755872794 0.856124431436 0.827608879749 0.773440186609 0.700737989959 0.616728138416 0.528082552941 0.440441041851 0.358138116366 0.284124768383 0.220050580195 0.16645778958 0.123035836807 0.088890358617 0.0627914308445 0.0433788239424 0.029314396008
56 4.1500515 10.0 0.0984390223938 0.289572497721 0.464027364713 0.612460274295 0.727943136509 0.806476019819 0.847139082018 0.85189090696 0.82507184667 0.77270787177 0.70172780378 0.619203846114 0.53170531653 0.444824509665 0.362898905361 0.288922148233 0.224612192928 0.170591129393 0.126627461766 0.0918961522039 0.0652216655822 0.0452814742371 0.0307593713376
57 4.25005 10.0 0.0973359083186 0.286392689285 0.459140762353 0.606424372287 0.7214254588 0.800165043296 0.841658207779 0.847728488101 0.822536417748 0.771912541309 0.70260244971 0.621529371384 0.53516151201 0.449042303594 0.36750877007 0.293592668722 0.229075605372 0.174655362533 0.130176373393 0.0948809888279 0.0676472567497 0.047190449402 0.0322169989541
58 4.3500515 10.0 0.0962719712951 0.28332449361 0.454421503767 0.600586983794 0.715109244752 0.794031218089 0.836308008602 0.843636138805 0.820005664386 0.771060665038 0.703370679945 0.623714473796 0.538460706999 0.453102852772 0.371974403566 0.298141052078 0.233443644734 0.178651715559 0.133682606254 0.0978441403404 0.0700670944402 0.0491045511907 0.0336861861898
59 4.4500515 10.0 0.0952450410051 0.280361791568 0.449860616001 0.59493785791 0.708984710753 0.78806681321 0.83108395622 0.839613081158 0.81748246973 0.770158151373 0.704040426444 0.625767962117 0.541611505794 0.457013701449 0.376301748571 0.302571426701 0.237718695627 0.18258110085 0.137145978658 0.100784729959 0.072479962597 0.0510224997806 0.0351657725245
60 4.5500515 10.0 0.0942530536681 0.277498756388 0.445449529342 0.589467153915 0.703042382744 0.78226422073 0.825981413678 0.835658200346 0.814969200433 0.769210292791 0.704618998407 0.627698101191 0.544622111046 0.460782167368 0.380496697979 0.306888023588 0.241903356954 0.186444709904 0.140566608841 0.103702166583 0.0748848933734 0.052943214641 0.0366547460918
